"Date","Level","NumBlocks","IsWin","ElapsedTime","Score","Accuracy"
"9/7/2019 4:32:52 PM","Level_380","32","False","11.72925","2500","0.3515756"
"9/7/2019 4:32:53 PM","Level_798","50","False","0.437691","50","0.302013"
"9/7/2019 4:33:16 PM","Level_715","42","True","22.06012","4050","0.3563538"
"9/7/2019 4:33:28 PM","Level_798","50","False","11.54418","2600","0.333084"
"9/7/2019 4:33:44 PM","Level_848","48","False","15.78517","1850","0.340652"
"9/7/2019 4:33:47 PM","Level_609","62","False","1.748051","400","0.3308126"
"9/7/2019 4:33:50 PM","Level_493","56","False","1.96937","350","0.3065667"
"9/7/2019 4:33:53 PM","Level_847","29","False","2.528799","0","0.3038232"
"9/7/2019 4:34:20 PM","Level_660","28","True","26.22005","2600","0.3734517"
"9/7/2019 4:34:23 PM","Level_715","42","False","2.774725","150","0.3194768"
"9/7/2019 4:34:25 PM","Level_380","32","False","1.411367","100","0.3003193"
"9/7/2019 4:34:36 PM","Level_520","29","False","10.37737","1250","0.3228962"
"9/7/2019 4:34:45 PM","Level_491","35","False","7.422207","900","0.3172199"
"9/7/2019 4:35:51 PM","Level_848","48","False","65.92728","4600","0.3973617"
"9/7/2019 4:36:01 PM","Level_494","40","False","8.847757","1500","0.336122"
"9/7/2019 4:36:43 PM","Level_846","18","True","41.0527","1500","0.3734109"
"9/7/2019 4:36:58 PM","Level_847","29","True","15.03689","2750","0.386702"
"9/7/2019 4:37:43 PM","Level_848","48","True","45.36212","4800","0.3816667"
"9/7/2019 4:37:46 PM","Level_849","43","False","1.9885","150","0.3202066"
"9/7/2019 4:38:11 PM","Level_491","35","True","24.33465","1750","0.3319218"
"9/7/2019 4:38:15 PM","Level_492","112","False","4.059506","1350","0.3093708"
"9/7/2019 4:38:45 PM","Level_798","50","True","28.74158","4000","0.3960986"
"9/7/2019 4:39:09 PM","Level_846","18","False","23.96713","1100","0.3726469"
"9/7/2019 4:39:36 PM","Level_849","43","True","26.36241","3650","0.3626592"
"9/7/2019 4:39:58 PM","Level_378","27","True","21.72425","3050","0.3884651"
"9/7/2019 4:40:06 PM","Level_379","28","True","8.679334","1400","0.3864082"
"9/7/2019 4:40:07 PM","Level_380","32","False","0.5113248","0","0.3514552"
"9/7/2019 4:40:12 PM","Level_380","32","False","3.995943","600","0.3095888"
"9/7/2019 4:40:28 PM","Level_847","29","True","15.09945","2750","0.3139367"
"9/7/2019 4:41:26 PM","Level_848","48","False","57.74873","4600","0.3404411"
"9/7/2019 4:41:27 PM","Level_847","29","False","0.7595657","0","0.3517511"
"9/7/2019 4:41:59 PM","Level_596","50","True","31.1804","4000","0.3728193"
"9/7/2019 4:42:17 PM","Level_604","56","False","17.41966","2800","0.3710836"
"9/7/2019 4:42:21 PM","Level_609","62","False","3.538827","400","0.3652651"
"9/7/2019 4:42:32 PM","Level_379","28","True","10.1791","1400","0.3627416"
"9/7/2019 4:43:01 PM","Level_380","32","False","28.90157","3400","0.3102266"
"9/7/2019 4:43:04 PM","Level_520","29","False","1.752043","200","0.3236347"
"9/7/2019 4:43:30 PM","Level_378","27","False","25.17071","2600","0.3470303"
"9/7/2019 4:44:19 PM","Level_609","62","True","48.34558","4200","0.3503019"
"9/7/2019 4:44:40 PM","Level_660","28","True","20.80904","2600","0.3686019"
"9/7/2019 4:45:05 PM","Level_715","42","True","25.28299","4050","0.3915008"
"9/7/2019 4:45:26 PM","Level_798","50","False","20.8518","2350","0.3923067"
"9/7/2019 4:45:43 PM","Level_379","28","True","16.53839","1400","0.3690397"
"9/7/2019 4:46:20 PM","Level_380","32","True","36.72937","3600","0.3911291"
"9/7/2019 4:46:29 PM","Level_491","35","False","8.702281","850","0.3400443"
"9/7/2019 4:46:32 PM","Level_596","50","False","2.542692","0","0.3459378"
"9/7/2019 4:46:47 PM","Level_609","62","False","14.03377","3250","0.3160106"
"9/7/2019 4:47:07 PM","Level_519","21","True","19.31081","1500","0.3667459"
"9/7/2019 4:47:45 PM","Level_520","29","True","37.60507","2700","0.3994983"
"9/7/2019 4:48:05 PM","Level_596","50","True","20.17766","4000","0.3542478"
"9/7/2019 4:48:21 PM","Level_604","56","True","15.83375","3000","0.3056899"
"9/7/2019 4:48:55 PM","Level_609","62","True","33.29054","4200","0.382857"
"9/7/2019 4:49:13 PM","Level_660","28","False","17.83695","2200","0.3123175"
"9/7/2019 4:49:41 PM","Level_660","28","False","27.99418","2450","0.3171611"
"9/7/2019 4:49:47 PM","Level_492","112","False","5.141253","550","0.3255256"
"9/7/2019 4:50:06 PM","Level_379","28","True","17.91517","1400","0.3153803"
"9/7/2019 4:50:16 PM","Level_380","32","False","10.16576","2200","0.3420387"
"9/7/2019 4:50:47 PM","Level_715","42","True","29.90296","4050","0.397896"
"9/7/2019 4:50:48 PM","Level_798","50","False","0.6027809","50","0.3603954"
"9/7/2019 4:51:06 PM","Level_378","27","True","17.52575","3050","0.3789538"
"9/7/2019 4:51:16 PM","Level_379","28","True","9.55741","1400","0.3809192"
"9/7/2019 4:51:36 PM","Level_380","32","True","20.32408","3600","0.3774816"
"9/7/2019 4:51:54 PM","Level_491","35","True","17.21746","1750","0.378442"
"9/7/2019 4:52:00 PM","Level_492","112","False","5.958786","1150","0.3234727"
"9/7/2019 4:52:28 PM","Level_493","56","True","27.78124","4900","0.3273177"
"9/7/2019 4:52:37 PM","Level_494","40","False","9.114431","1650","0.3329285"
"9/7/2019 4:52:58 PM","Level_609","62","True","19.35562","4200","0.3901485"
"9/7/2019 4:52:59 PM","Level_660","28","False","1.144172","50","0.3005894"
"9/7/2019 4:53:39 PM","Level_660","28","True","39.64752","2600","0.3561651"
"9/7/2019 4:53:55 PM","Level_715","42","False","15.01447","2200","0.3472373"
"9/7/2019 4:54:20 PM","Level_519","21","True","24.58384","1500","0.3926581"
"9/7/2019 4:54:38 PM","Level_520","29","True","18.01761","2700","0.3841568"
"9/7/2019 4:54:56 PM","Level_596","50","False","17.75157","3900","0.3458139"
"9/7/2019 4:55:06 PM","Level_660","28","False","9.000899","2400","0.310515"
"9/7/2019 4:55:17 PM","Level_379","28","True","10.87702","1400","0.306222"
"9/7/2019 4:55:53 PM","Level_380","32","False","35.046","2900","0.3119703"
"9/7/2019 4:56:04 PM","Level_492","112","False","10.34292","2250","0.3024857"
"9/7/2019 4:56:34 PM","Level_493","56","True","29.16313","4900","0.3589315"
"9/7/2019 4:56:51 PM","Level_494","40","True","16.73886","2150","0.3775017"
"9/7/2019 4:57:09 PM","Level_519","21","False","17.79527","1350","0.3973967"
"9/7/2019 4:57:30 PM","Level_520","29","True","20.92243","2700","0.3788522"
"9/7/2019 4:57:33 PM","Level_596","50","False","2.862434","550","0.3361553"
"9/7/2019 4:57:46 PM","Level_849","43","True","12.08447","3650","0.3857721"
"9/7/2019 4:57:47 PM","Level_378","27","False","0.6571468","100","0.3754941"
